nombre;coordenadas
PAMPATAR ;-63.79139000000,10.98771000000
PUERTO FERMIN ;-63.84140000000,11.11212000000
BELLA VISTA ;-63.81382000000,10.96834000000
GUAYACAN ;-63.92267000000,11.13614000000
LA GALERA ;-63.98749000000,11.10225000000
SAN PEDRO DE COCHE ;-64.00386000000,10.77291000000
LA GUARDIA ;-64.02565000000,10.98980000000
JUANGRIEGO ;-63.99452000000,11.07157000000
ISLA LOS TESTIGOS;-63.10955000000,11.38556000000
IRAPA ;-62.58595000000,10.56677000000
YAGUARAPARO ;-62.81873000000,10.54430000000
MACURO ;-61.93742000000,10.66553000000
RIO CARIBE ;-63.11895000000,10.70555000000
SAN JUAN DE LAS GALDONAS ;-62.87158000000,10.70373000000
PUERTO SANTO ;-63.16385000000,10.71517000000
CARUPANO ;-63.24316000000,10.67327000000
GUAYACAN ;-63.83711000000,10.64650000000
PLAYA GRANDE ;-63.27968000000,10.66521000000
GUACA ;-63.40823000000,10.66884000000
LA ESMERALDA ;-63.49306000000,10.64420000000
SAUCEDO - SUCRE;-63.55690000000,10.63120000000
BOCA DE RIO ;-64.18070000000,10.96335000000
GUAYACANCITO ;-63.89343000000,11.17193000000
EL MANGLILLO ;-64.30182000000,10.94689000000
BOCA DE POZO ;-64.38512000000,10.99689000000
EL HATILLO ;-65.24438000000,10.11309000000
SAN JUAN;-65.35549000000,10.07419000000
HIGUEROTE ;-66.10335000000,10.49561000000
OCUMARE DE LA COSTA ;-67.76405000000,10.49165000000
TUCACAS ;-68.31922000000,10.78689000000
SAN JUAN DE LOS CAYOS ;-68.41683000000,11.17547000000
CHICHIRIVICHE ;-68.26567000000,10.92925000000
LAS PIEDRAS ;-70.21353000000,11.70170000000
PUNTA CARDON ;-70.22299000000,11.61356000000
CARIRUBANA ;-70.21746000000,11.68727000000
LOS TAQUES ;-70.25395000000,11.79649000000
ADICORA ;-69.79504000000,11.93807000000
AMUAY ;-70.23964000000,11.77103000000
PUNTA DE PIEDRAS ;-64.11549000000,10.89689000000
CHACACHACARE ;-64.15908000000,10.95246000000
LAGUNA RAYA ;-64.12256000000,10.92804000000
MARIGUITAR ;-63.91404000000,10.45245000000
SAN ANTONIO EL GOLFO ;-63.79372000000,10.44520000000
CHIGUANA ;-63.67990000000,10.48824000000
GUACARAPO ;-63.73827000000,10.50040000000
EL CEDRO ;-62.25323000000,10.63032000000
PUERTO  SUCRE ;-64.19005000000,10.46804000000
EL GUAMACHE ;-64.12635000000,10.62354000000
PUNTA ARAYA ;-64.28939000000,10.64397000000
MANICUARE ;-64.20355000000,10.55465000000
CAIMANCITO ;-63.89522000000,10.64226000000
CHACOPATA ;-63.81268000000,10.69820000000
SANTA FE ;-64.41434000000,10.29023000000
MOCHIMA ;-64.34172000000,10.35407000000
EL PENON ;-64.09328000000,10.45333000000
TACARIGUA ;-64.16546000000,10.56890000000
TAGUAPIRE ;-64.01185000000,10.64304000000
LOS COCOS ;-64.65309000000,10.21442000000
PUERTO PIRITU ;-65.04009000000,10.07210000000
GUANTA  ;-64.59559000000,10.24823000000
LECHERIAS ;-64.69420000000,10.19850000000
TACARIGUA DE LAGUNA ;-65.87998000000,10.31609000000
CUPIRA ;-65.65821000000,10.21391000000
PAPARO ;-65.97307000000,10.38438000000
LA GUAIRA ;-66.94902000000,10.60429000000
LOS ROQUES ;-66.68227000000,11.94799000000
NAIGUATA ;-66.73529000000,10.62464000000
LA SABANA  ;-66.38526000000,10.62459000000
PUERTO CABELLO;-68.018804,10.474087
CUMAREBO ;-69.35982000000,11.49013000000
ZAZARIDA ;-70.51013000000,11.24136000000
RIO SECO ;-70.20974000000,11.35510000000
ROBLEDAL;-64.37719000000,11.02335000000
ISLETA ;-63.93822000000,10.88679000000
LA VELA DE CORO ;-69.57716000000,11.45980000000
GUARANAO;-70.21371000000,11.67089000000
EL GUAMACHE ;-63.95163000000,10.76167000000
LAS LAPAS;-65.87734000000,10.25562000000
EL MORRO;-63.15698000000,10.72286000000
GUIRIA;-63.33102000000,10.67003000000
MANZANILLO;-63.88923000000,11.16085000000
MERITO;-64.13026000000,10.58196000000
SAN IGNACIO;-65.80191000000,10.21314000000
PUERTO AYACUCHO;-67.61686000000,5.67100000000
CUBAGUA;-64.16384000000,10.82821000000
LOS CACHIGATOS;-63.86237000000,10.44250000000
SAN LUIS;-64.13095000000,10.47188000000
EL DIQUE;-64.16300000000,10.48534000000
LA ANGOLETA;-64.21956000000,10.41294000000
LA CERCA;-65.25723000000,10.11545000000
LOS COQUITOS;-71.73155000000,10.97047000000
MUACO;-69.55000000000,11.48583000000
SINAMAICA ;-71.86330000000,11.08504000000
SAN CARLOS DEL ZULIA ;-71.61852000000,10.98614000000
MARACAIBO;-71.60630000000,10.66436000000
SANTA RITA;-71.51927000000,10.53745000000
LA CONCEPCION;-71.67771000000,10.42306000000
BOBURES;-71.17561000000,9.24292000000
SAN TIMOTEO;-71.06707000000,9.79158000000
BARRANQUITAS;-72.02618000000,9.98081000000
CABIMAS;-71.44558000000,10.40017000000
SAN CARLOS DEL ZULIA;-71.91528000000,9.00019000000
BOCA DE ESCALANTE;-71.75264000000,9.24024000000
ENCONTRADOS;-72.23194000000,9.06322000000
LA CEIBA;-71.06479000000,9.47401000000
CIUDAD BOLIVAR;-63.54504000000,8.13120000000
EL ROSARIO;-63.30879000000,8.26706000000
SAN FELIX;-62.65515000000,8.37355000000
MOITACO;-64.35595000000,8.00552000000
EL ALMACEN;-63.84658000000,8.06691000000
GUASDUALITO;-70.72906000000,7.24771000000
EL AMPARO;-70.75578000000,7.10437000000
SAN FERNANDO DE APURE;-67.46814000000,7.89702000000
SAN JUAN DE PAYARA;-67.60976000000,7.64687000000
ACHAGUAS;-68.22466000000,7.77948000000
SAN CRISTOBAL;-72.23323000000,7.76945000000
LA MORITA;-72.01849000000,7.66677000000
PUERTO VIVAS;-71.83719000000,7.50059000000
ABEJALES;-71.50757000000,7.62763000000
EL CANTON;-71.28950000000,7.47946000000
ELORZA;-69.49629000000,7.06667000000
CABRUTA;-66.25390000000,7.64789000000
GUANARE;-69.74748000000,9.04711000000
SAN ANDRES;-69.62631000000,8.76687000000
GUANARITO;-69.20613000000,8.70251000000
EL BAUL;-68.29278000000,8.96500000000
PALMARITO;-71.21764934720,9.17988174881
BARINAS;-70.21630000000,8.63148000000
PUERTO DE NUTRIAS;-69.29524000000,8.07728000000
BOCONOITO;-69.97630000000,8.84802000000
SAN VICENTE;-69.49419000000,8.00223000000
SANTA BARBARA DE BARINAS;-71.17404000000,7.81961000000
CALABOZO;-67.43720000000,8.92990000000
CAMAGUAN;-67.60709000000,8.11184000000
BARRANCAS;-62.19858000000,8.70512000000
TORTOLA;-62.15547000000,8.59451000000
CURIAPO;-61.00000000000,8.56889000000
TUCUPITA;-62.05042000000,9.06688000000
BRUZUAL;-69.32944000000,8.05111000000
TORTOLA;-62.15547000000,8.59451000000
LOS PUERTOS DE ALTAGRACIA;-71.52399000000,10.71575000000
SAN RAFAEL DEL MOJAN;-71.72809000000,10.96382000000
LOS COQUITOS;-71.73155000000,10.97047000000
CONGO MIRADOR;-71.91464000000,9.00611000000
PUERTO COCHA;-71.91528000000,9.01316000000
LAS MAJADAS;-68.59682000000,8.25225000000
NUEVA FLORIDA;-69.20406000000,9.58019000000
CIUDAD BOLIVIA;-70.56564000000,8.35734000000
